No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
1,Thor: Love and Thunder (2022),"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",8.6,0,6.4,7.5,0,0,0,0,0,0,0,0,0,6.5
2,Top Gun: Maverick (2022),"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",8.7,0,0,0,8,0,0,0,0,0,0,0,0,8.4
3,Heat (1995),A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,8.7,0,6.7,0,0,0,0,0,0,0,0,0,0,7.9
4,Spider-Man: No Way Home (2021),"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",9.2,0,7.4,0,0,0,0,7.6,0,0,0,0,0,8.3
5,Doctor Strange in the Multiverse of Madness (2022),"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",7,0,7.3,0,0,0,0,8,0,0,0,0,0,7
6,Avatar (2009),A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,8,7,7.5,0,0,6.4,0,8.7,0,0,0,0,0,7.8
7,Titanic (1997),"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",0,0,0,0,9.2,9,0,0,0,0,0,0,0,7.9
8,Tenet (2020),"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",7.8,0,0,0,0,0,7.1,0,0,0,0,0,0,7.3
9,Jurassic Park (1993),A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.1,0,8.5,0,0,0,7,0,0,0,0,0,0,8.2
10,Avengers: Endgame (2019),"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.1,9.3,7.6,0,7.4,0,0,0,0,0,0,0,0,8.4
11,The Suicide Squad (2021),"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",8.6,0,7.1,8.9,0,0,0,0,0,0,0,0,0,7.2
12,Shawshank Mittraphap Khwamwang Khwamrunraeng (1994),"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",0,0,0,0,8.5,0,0,0,0,0,0,0,0,9.3
13,Morbius (2022),"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",8,0,7.1,0,0,0,0,0,6.2,0,0,0,0,5.2
14,Harry Potter and the Sorcerer's Stone (2001),"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",0,0,8,0,0,0,0,7.4,0,0,0,0,0,7.6
15,Brothers (I) (2009),"While on tour in Afghanistan, Sam's copter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage.",8,9.2,0,0,0,0,0,0,0,0,0,0,0,7.1
16,Braveheart (1995),Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,7.6,8.4,0,0,0,0,0,0,0,0,0,0,0,8.4
18,King Arthur (2004),A demystified take on the tale of King Arthur and the Knights of the Round Table.,9.2,7,0,0,8,0,0,0,0,0,0,0,0,6.3
19,Mulan (1998),"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",6.7,7.7,0,0,6,0,0,0,0,0,0,0,0,7.6
